セール名,価格,期間,リンク先
バンクーバー 5日間,"69,800円",2018年11月1日～2018年12月20日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=YVR&outwardDeptDate=20181101&returnDeptDate=20181104&cabinClass=0&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=03&countryCode=CA
シンガポール 3日間,"49,800円",2018年10月1日～2018年12月22日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=SIN&outwardDeptDate=20181016&returnDeptDate=20181018&cabinClass=0&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=05&countryCode=SG
ニューヨーク 5日間,"128,000円",2018年11月1日～2018年12月20日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=NYC&outwardDeptDate=20181130&returnDeptDate=20181203&cabinClass=0&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=03&countryCode=US
クアラルンプール 3日間,"39,800円",2018年10月1日～2018年12月22日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=KUL&outwardDeptDate=20181009&returnDeptDate=20181011&cabinClass=0&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=05&countryCode=MY
ソウル 3日間,"29,800円",2018年10月1日～2018年12月22日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=SEL&outwardDeptDate=20181002&returnDeptDate=20181004&cabinClass=0&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=05&countryCode=KR
バンコク 3日間,"69,800円",2018年10月1日～2018年12月22日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=BKK&outwardDeptDate=20181030&returnDeptDate=20181101&cabinClass=0&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=05&countryCode=TH
シドニー 5日間,"143,000円",2018年11月1日～2018年12月22日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=SYD&outwardDeptDate=20181124&returnDeptDate=20181127&cabinClass=0&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=07&countryCode=AU
ブリュッセル 5日間,"197,700円",2018年11月1日～2019年1月31日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=BRU&outwardDeptDate=20190125&returnDeptDate=20190128&cabinClass=3&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=06&countryCode=BE
フランクフルト 5日間,"197,500円",2018年11月1日～2019年1月31日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=FRA&outwardDeptDate=20190117&returnDeptDate=20190120&cabinClass=3&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=06&countryCode=DE
サンフランシスコ 5日間,"198,000円",2018年11月1日～2018年12月20日出発,https://www.ana.co.jp/inttour/booking/csm/search/ISCP3100/init?callerDivision=1&outwardDeptName=TYO&destCode=SFO&outwardDeptDate=20181130&returnDeptDate=20181203&cabinClass=3&personNumOne=2&adultNumOne=2&childNumOne=0&childNoBedNumOne=0&infantNumOne=0&wayCode=03&countryCode=US
